CSY word (Lat. orth.)	CSY word (Cyr. orth.)	Eng. gloss 1	Russ. gloss 1	ex'ples, etym, etc.	Eng. gloss 2	Eng. gloss 3	Russ. gloss 2	Russ. gloss 3	CSY word (Cyr.) num. eq.	Russ. gloss 1 num. eq.	Russ. gloss 2 num. eq.	Russ. gloss 3 num. eq.	queries, etc.	Eng. gloss 4	Russ. gloss 4	Russ. gloss 4 num. eq.	combined English gloss	combined Russian gloss	PE (PY) source	symantic code	Sib. source code	derived forms	postbase head form	postbase alphabetization form	alphabetization field B	CSY word (Cyrillic)
~–qumtaaq	-2evn62	frequently V-ed thing		atuqumtaaq ‘a frequently used thing’ (from atugh- ‘to use’); aafkumtaaq ‘something frequently halved’ (from aveg- ‘to divide in two’); neghqumtaaq or nequmtaaq ‘something commonly eaten’, nequmtaaghuuq ‘it is commonly eaten’ (from negh<e>- ‘to eat’); piniqumtaaq ‘boyfriend; girlfriend’ (irregularly from pinigh- ‘to be good’ or piniqe- ‘to like’); ilaqumtaaq ‘friend’ (from noun  ila ‘relative, friend, one of’); aksaqumtaaq ‘secret’ (from root aksa(q) ‘secret’ as in aksaqe- ‘to keep a secret’); sasiqumtaaq ‘custom’ (from sasiq ‘activity, practice’)	usually V-ed thing	commonly V-ed thing											frequently V-ed thing; usually V-ed thing; commonly V-ed thing						~–qumtaaq	qumtaq	qumtxq	-қумтāқ
-qun				see –kun													in the next N; in the future N						–kun	qun	qun	
?quq	-2e2	anatomical suffix		a common final syllable on anatomical words; meaning undetermined; uyaquq ‘neck’; tangtaquq ‘cartilage’; segesquq ‘knee’; alangquq ‘ring finger’; iqelquq ‘little finger’; ighsaquq ‘heart’; eslequq ‘rear flipper of seal or walrus’; iilquq ‘brain’; mangalquq ‘callus’; melquq ‘fur, feather, body hair’; mengquq ‘goose bump, feather stem on plucked bird skin’; naasquq ‘head’; papasquq ‘fish tail’; talliquq ‘back fin’; taquq ‘side of face’; yaquq ‘wing’; angangarquq or aanngerquq ‘ankle bone’; aqsaquq ‘stomach organ’; perhaps also: akangquq or kaangquq ‘knot in wood’; tequq ‘urine’; naangquq ‘piece of ivory’; kukingquq ‘ivory hook’; ilangquq ‘clear chunk of fresh ice’; uquq ‘oil, fat, blubber’													anatomical suffix		pb PE -qu3				?quq	quq	quq	-қуқ
-qusiigh-				see –kusiigh-													to casually V; to slowly V						–kusiigh-	qusigh	qusxgh	
?qutaq	-2enf2	device associated with N or with V-ing		probably non-productive; qavaqutaq ‘sleeping potion, or the like’ (from qavagh- ‘to sleep’); aghveghqutaq ‘blade of whaling harpoon’ (from aghveq ‘whale’); ighivgaqutaq ‘dinner’ (from ighivgaq ‘evening’; miluqutaq ‘edible sea creature with tough skin and red insides’ (from milugh- ‘to throw’ (said to be so called because they are thrown to the ground to soften the meat)); napaqutaq ‘stake’ (from napa ‘post’ or napagh(te)- ‘to affix upright’); agalqutaq ‘peg for hanging things’ (from agagh(te)- ‘to hang’); asiliqutaq ‘something put under a thing to raise it, to protect the surface underneath, catch a leak, etc.’ (from asiligh- ‘to provide with an underpart’); nalluniilkutaq ‘marker’ (from nalluniite- ‘to be readily visible’) perhaps also in avaqutaq ‘child, offspring’; Ameriigaghallghi tamaakut qupneghqutaghqat, eslegellghi kiiwhtaghqutaghqat, iqallughqutaghqat, negaghpagkat. ‘The thiner twine was used for bering cisco nets; the thicker twine was for arctic char and larger salmon nets.’ (from qupneq, kiiwhtaq, and iqalluk – types of fish) (SIVUQ. NANGAGH. 3:24)													device associated with N or with V-ing						?qutaq	qutaq	qutaq	-қутақ
-quute-				see ~+(q/t)uute-													to V as a group; to V together						~+(q/t)uute-	qute	qxte	
-quvinghaq				see –kuvinghaq													remains of N						–kuvinghaq	quvinghaq	quvinghaq	
?qwaaq				see ?kwaaq													leftover N						?kwaaq	qwaq	qwxq	
–qwaaqun	-2162ey	later (a little ~ in the N)		used with time words, yields particles; aghneqwaaqun ‘later today’ (from aghneq ‘day’); kinguvaqwaaqun ‘later on’ (from kinguvaq ‘time after’); ellmakwaakun ‘some other time’ (from root ellmaa-  ‘little bit’); maateqwaakun ‘shortly’ (from root maate- as in maaten ‘now’)													a little later in the N						–qwaaqun	qwaqun	qwxqun	-қӱāқун
																	R							r	r	
@~f+ragh-	-hf4-	repeatedly V though perhaps unnecessarily or unsucessfully		qimagraghtuq ‘he keeps trying to flee’ (from qimag- ‘to flee’); tuqlughraghtuq ‘he keeps calling out in vain’ (from tuqlugh- ‘to call out’); melugraghtuq ‘he’s repeatedly sucking something’ (from melug- ‘to suck’); puvugraghtuq ‘it’s repeatedly pecking’ (from puvug- ‘to peck’); qesugraghaa ‘he’s repeatedly or continuously pulling it out’ (from qesug- ‘to pull out’); qupughraghaa ‘he’s shreding it’ (from qupugh- ‘to split’); saagraghaa ‘he’s spreading it out’ (from saag- ‘to scatter’); supughraghaa ‘he’s repeatedly blowing on it (the fire)’ (from supugh- ‘to blow on’); tukeghraghtuq ‘he’s repeatedly kicking with both feet’ (from tukegh- ‘to kick with both feet’); tuqlughraghtuq ‘he’s repeatedly calling out’ (from tuqlugh- ‘to call out’); alungraghtuq ‘it’s repeatedly licking (its paws, often)’ (from alunge- ‘to lick’); also aarraghtuq ‘he’s dressing in a fancy way’ (from aate- ‘to dress’; though perhaps not with this postbase)	continuously V though perhaps unnecessarily or unsucessfully												to repeatedly or continuously V though perhaps unnecessarily or unsucessfully		pb PE -9a3- and -9aq0-				@~f+ragh-	ragh	ragh	-раӷ-
+raaghaq	-h64f2	new N		igaghvigraaghaq ‘new school’ (from igaghvik ‘school’)									more examples needed				new N		< -raaq-ghaq				+raaghaq	raghaq	rxghaq	-рāӷақ
+raghaq	-hf4f2	new (brand ~ N)		angyaghraghaq ‘brand new boat’ (from angyaq ‘boat’); atkugraghaq ‘brand new parka’ (from atkuk ‘parka’)													brand new N						+raghaq	raghaq	raghaq	-раӷақ
–raaghinaq*	-h64byf2	nothing but N		ungagaraaghinaq ‘nothing but reindeer moss’ (from ungagaq ‘reindeer moss’); meraaghinaghllak ‘nothing but the sea’ (from meq ‘water’); neghqwaaraaghinaq ‘nothing but bones’ (from neghqwaaq ‘bone’); piniraaghinaq ‘the best possible thing (considering everything)’ (from pinigh- ‘to be good’); Naqam yugilnguut taawanginaq aghnaraaghinaat unegtekaalghiit. ‘Consequently there were no men there; nothing but women were left.’ (from aghnaq ‘woman’) (UNGAZ. UNGIP. 45)	just N	only N											nothing but N; just N; only N		< -?-(ng)inaq				–raaghinaq	raghinaq	rxghinaq	-рāӷинақ
@~f–ragkiigh-	-hf[r74-	quickly V		qiyaragkiightuq ‘he cried quickly’ (from qiya- ‘to cry’); taaqragkiightuq ‘he finished quickly’ (from taaqe- ‘to finish’); neragkiightuq orneghragkiighaa ‘he ate it quickly’ (from negh<e>- ‘to eat’); kaarragkiightuq ‘he arrived quickly’ (from kaate- ‘to arrive’); ingaghhragkiightuq ‘he lay down quickly’ (from ingaghte- ‘to lie down’); iteragkiightuq ‘he came in quickly’ (from itegh- ‘to come in’); sukarragkiighutuq ‘he is running fast as in a race’ (from sukate- ‘to be fast’); ukiragkiightuq ‘he went down quickly’ (from ukig- ‘to go down’)													to V quickly						@~f–ragkiigh-	ragkigh	ragkxgh	-рахкӣӷ-
@~f–ragkiighute-	-hf[r74ens-	quickly V		Neveghhneghani, aghnam tamaghhaghmi iiggaragkiighutaqaat yuginaq tallii. ‘Whenever he lay down all the women quickly put gloves onto his twenty arms (hands).’ (from iiggagh- ‘to put on gloves’) (MATERIALY 443)													to V quickly		< -ragkiigh-(u)te-				@~f–ragkiighute-	ragkighute	ragkxghute	-рахкӣӷуты-
+raak	-h6r	like (thing ~ N)		qayuutaghraak ‘washtub, trough’ (from qayuutaq ‘wooden tray’); akmagtaghraak ‘handbag’ (from akmagtaq ‘backpack’); tepraak ‘bad smell’ (from tepae ‘smell’); qanigraak ‘light continual snowfall’ (from qanik ‘snowfall’); pekuutaghraak ‘northern shoveler duck (Anas clypeata); ray; skate’ (from pekuutaq ‘shovel’); igaghraak ‘granite or other spotted rock’ (from igaq ‘design, tattoo’); cf. -yaak													thing like N						+raak	rak	rxk	-рāк
@~f–rakegtaq	-hfrs[nf2	quickly  (one that Vs ~)		sarakegtaq ‘a person that does things quickly’ (from sa- ‘to do’)													one that Vs quickly		< -rakegte-aq		SLI Jr. Dict. 38		@~f–rakegtaq	rakegtaq	rakegtaq	-ракыхтақ
@~f–rakegte-	-hfrs[ns-	quickly V		nerakegtuq ‘he ate quicly’ (from negh<e>- ‘to eat’); tagirakegtuq ‘he came fast’ (from tagi- ‘to come’); esnegrakegtuq ‘it is very dark in color’ (from esnek ‘bruise’)	very (be ~ much an N)												to V quickly; to be very much an N						@~f–rakegte-	rakegte	rakegte	-ракыхты-
@~f–rakguugh-	-hfr84-	fast (be ~ at V-ing)		qepgharakguughtuq ‘he’s working fast’ (from qepghagh- ‘to work’)	quicly (learn to V ~)								from De Reusse’s book - I can’t find an example in our texts., but it’s in Rubstova’s suffix list				to be fast at V-ing; to learn to V quickly						@~f–rakguugh-	rakgugh	rakgxgh	-ракӯӷ-
–raaq	-h62	new-fangled N (as opposed to traditional style N)		qaliraaq ‘rubber or plastic raincoat’ (from qaliq ‘gut raincoat’); allighteraaq ‘knit sock’ (from allighta ‘skin sock’); kameraaq ‘rubber boot’ (from kamek ‘skin boot’); kuyngeraaq ‘sacrificial vessel (?)’ (from kuyngae ‘pipe (for smoking)’)	modern N												new-fangled N (as opposed to traditional style N); modern N						–raaq	raq	rxq	-рāқ
–rkaggaq	-irf[f2	slightly (one that is ~ V)		nenglaghnarkaggaq ‘a thing that is slightly funny’; Waranqun naama ighnimaanga peghqinerkaggaalunga. ‘At any rate my mother gave birth to me and I am a little wise.’ (from peghqineq ‘wise, clever one’) (UNGAZ. UNGIP. 83)	little (one that is a ~ bit V)												one that is a little bit V; one that is slightly V		pb PE 9ka3, and -ggaq				–rkaggaq	rkaggaq	rkaggaq	-шкахақ
–rkapik	-irfgbr	one that is very V		Umiilguuy! Umiilguuy! Pinirkapiguuten. ‘Umiilgu!, Umiilgu! You are a very fine person.’ (from pinigh- ‘to be good’) (UNGAZ. UNGIP. 45); Kayengenghaghhaq taana neqnirkapiggaq. ‘That sculpin was sure delicious.’ (from neqnigh- ‘to be tasty’) (UNGIPAGHAGH. 50)	very (one that is ~ V)												one that is very V		pb PE 9ka3, and -pik				–rkapik	rkapik	rkapik	-шкапик
–rqwaaq	-i2162	old N		non-productive; mangtegharqwaaq ‘old house’ (from mangteghaq ‘house’); =--lqwaaq, -sqwaaq													old N		pb PY-S v$03a3-				–rqwaaq	rqwaq	rqwxq	-шқӱāқ
–rraak	-i6r	crude N		= –llaak; atkurraak ‘bad parka’ (from atkuk ‘parka’); mangtegharraak ‘shabby house’ (from mangteghaq ‘house’); Gaaghuteggu neghesteggu tuugkarraagmeng, giimarraagmeng, iquyarraagmeng. ‘Cook for him and let him eat the discarded harpoon heads, shanks and tips.’ (from tuugkaq, giimaq ‘shank’, and iquyaq ‘harpoon parts (various)’) (SIVUQ. NANGAGH. 2:262)	clumsy N	bad N								discarded N			crude N; clumsy N; bad N; shabby N; discarded N						–rraak	rrak	rrxk	-шāк
																	S							s	s	
–saag-	-c9u-	strange (V in a ~ way)		= -yaag-; kakisaagtuq ‘she's sewing in a strange way’ (from kaki- ‘to sew’)	weirdly V												to V in a strange way; to V weirdly						–saag-	sag	sxg	-ся̄г-
-saag-																	to V in a strange way; to V weirdly							sag	sxg	
+sagh-	-cz4-	cause one to V or be V-ed		pinighsaghtuq ‘he made himself nice’, pinighsaghaa ‘he made her presentable’ (from pinigh- ‘to be good’); ipegsaghaa ‘he sharpened it’ (from ipeg- ‘to be sharp’)	endeavor to V								check ‘endeavor’; could be a different postbase				to cause one to V or be V-ed; to endeavor to V		pb PE ca3-1				+sagh-	sagh	sagh	-сяӷ-
-sagh-1	-z4-¡			see @~f+yagh-1													to go somewhere in order to V; to go V-ing; to go to celebrate N; to hunt N							sagh1	sagh1	-яӷ-1
-sagh-2				see @~f+yagh-2													to V but …; to V in vain; to V without the desired results							sagh2	sagh2	
+saghagh-	-cz4f4-	try to induce one to V		= seghagh-; this is a “compound verbal” postbase; qiyasaghaghaa ‘he tried to make her cry’ (from qiya- ‘to cry’); neghesaghaghaa ‘he tried to get her to eat’ (from negh<e>- ‘to eat’); nenglaghsaghaghaa ‘he tried to make her laugh’ (from nenglagh- ‘to laugh’); ingaghtesaghaghaa ‘he tried to get her to lie down’ (from ingaghte- ‘to lie down’); tuqutesaghaghaa ‘he tried to get someone to kill it’ (from tuqute- ‘to kill’)	induce one to V												to try to induce one to V						+saghagh-	saghagh	saghagh	-сяӷаӷ-
-saghagh-	-z4f4-			see @~f+yaghagh-													V early							saghagh	saghagh	-яӷаӷ-
-saghaq				see @~f+yaghaq													device for V-ing; place for V-ing							saghaq	saghaq	
-saghpete-				see @~f+yaghpete-													to evidently have V-ed but in vain							saghpete	saghpete	
-saghqaa-				see @~f+yaghqaa-													to need to V; to be supposed to V; to V in the future							saghqa	saghqx	
-saghqaaghte-				see @~f+yaghqaaghte-													to become necessary to V; to have to V now							saghqaghte	saghqxghte	
-saghqaq				see @~f+yaghqaq													something that will V or be V-ed							saghqaq	saghqaq	
-saghqaqe-				see @~f+yaghqaqe-													to need to V; to be supposed to V; to V in the future							saghqaqe	saghqaqe	
-saaghte-				see @~f+yaaghte-													to learn to V							saghte	sxghte	
+saghtugh-	-cz5ne4-	hunt N		neghsaghsaghtughtuq ‘he hunted seals’ (from neghsaq ‘seal’); ayveghsaghtughtuq ‘he hunted walrus’ (from ayveq ‘walrus’); kaviighsaghtughtuq ‘he hunted foxes’ (from kaviiq ‘fox’); said to be more specific than -yagh-3  (q.v.)													to hunt N						+saghtugh-	saghtugh	saghtugh	-сяҳтуӷ-
-saghtugh-				see @~f+yaghtugh-													to be about to V; to go somewhere to V							saghtugh	saghtugh	
-sagute-				see @~f+yagute-													to reach a state of V-ing							sagute	sagute	
–sak	-czr	one who V-s		marginally productive; often has a negative connotation; aklumasak ‘very poor person’ (from akluma- ‘to be needy’); alingtasak ‘coward’ (from alingtagh- ‘to be cowardly’); iqlengasak ‘liar’ (from iqlenga- ‘to be a liar’); teglengasak ‘thief’ (from teglenga- ‘to be thief’)	habitual V-er												one who V-s; habitual V-er						–sak	sak	sak	-сяк
-saq				see @~:(u)saq													something that has been V-ed						@~:(u)saq	saq	saq	
-saquna-				see @~f+yaquna-													don't ever V!							saquna	saquna	
+seghagh-	-cs4f4-	try to induce one to V		non-productive; alingseghagh- ‘to try to scare, to purposely frighten (in order to “teach one a lesson”)’ (from alinge- ‘to be frightened’); = saghagh-	induce one to V												to try to induce one to V						+seghagh-	seghagh	seghagh	-сыӷаӷ-
+si-1	-cb-¡	work on or with N		angyaghsiiq ‘he worked on a boat’ (from angyaq ‘boat’); mangteghaghsiiq ‘he worked on a house’ (from mangteghaq ‘house’); ulaaghsiiq ‘she worked with a semi-lunar knife’ (from ulaaq ‘semi-lunar knife’)													to work on or with N						+si-1	si1	si1	-си-1
+si-2	-cb-™	acquire lots of N		nunasiinga ‘I acquired lots of land’ (from nuna ‘land’); qikmighsiiq ‘he got lots of dogs’ (from qikmiq ‘dog’); angyaghsiiq ‘he got lots of boats’ (from angyaq ‘boat’)	get lots of N												to acquire lots of N; to get lots of N		pb PE -ci-				+si-2	si2	si2	-си-2
-sigate-				see +(te)sigate-													to prevent or keep one from V-ing; to not allow one to V; to not let one V						+(te)sigate-	sigate	sigate	
+sigh-	-cb4-	wait for (it) to V		aghyughsighaa ‘he let it age’ (from aghyugh- ‘to age’); anglisaghaa ‘he raised him’ (from angli- ‘to grow’); aghisighaa ‘he soaked it’ (from aghi- ‘to get wet’)	cause to V												to wait for (it) to V; to cause to V		pb PE -c(c)i3-				+sigh-	sigh	sigh	-сиӷ-
+siigh-	-c74-	get lots of N		quugsiightuq ‘he gathered lots of wood’ (from quuk ‘firewood’); Kaviighhaq pii Meteghllugllagem, "Kii, naqamalla naken neqesiighsin?" ‘Raven said to Fox, “Gosh, where did you get all that food?”’ (from neqae ‘food’) (SIVUQ. NANGAGH. 3:232)	gather lots of N	lots (get or gather ~ of N)											to get lots of N; to gather lots of N						+siigh-	sigh	sxgh	-сӣӷ-
+sighagh-	-cb4f4-	arrange for one to V		non-productive; ayuqesighag- ‘to mimic’ (from ayuqe- ‘to be like’); piitesighagh- ‘to plant’ (from piite- ‘to sprout’)	provide for one to V												to arrange or provide for one to V						+sighagh-	sighagh	sighagh	-сиӷаӷ-
–sighwaagh-	-cb4164-	pretend to V		qepghasighwaaghtuq ‘he pretending to work’ (from qepghagh- ‘to work’);  inghusighwaaghtuq ‘he pretended to pick berries, picking them really trying’ (from inghu- ‘to pick berries’); Aghnaamkamillu amik umesighwaaghluku reghilqughlluku esghapagaqelghiikung. ‘Aghnaamkami and I would pretend to close the door leaving it ajar so that we could watch.’ (from umeg- ‘to close’) (SIVUQ. UNGIP. 3:92)	effort (V without putting ~ into it)	half-heartedly V											to pretend to V; to V without putting effort into it; half-heartedly V						–sighwaagh-	sighwagh	sighwxgh	-сиӷӱāӷ-
