CSY word (Lat. orth.)	CSY word (Cyrillic)	CSY word (Cyr. orth.)	combined English gloss	Eng. gloss 1	Eng. gloss 2	Eng. gloss 3	Eng. gloss 4	ex'ples, etym, etc.	combined Russian gloss	derived forms	queries, etc.	PE (PY) source	Sib. source code	symantic code	alphabetization field A	alphabetization field B
nellug-	ныльюг-	ysk]/u-	uncomfortable; claustrophobic; ill at ease	uncomfortable	claustrophobic	ill at ease		emotional root; nellugyugtuq ‘he feels uncomfortable, claustrophobic, ill at ease’; nellugnaghtuq ‘it makes one feel uncomfortable, ill at ease, claustrophobic’				< nae-lluk-yug-			nellug-	nellug-
nemegh-	нымыӷ-	ysvs4-	to lash; to tie up; to stitch overcast	lash (tie)	tie up	stitch overcase		nemghaa ‘he tied it (package or the like)’ / nemghutaa box-mun ‘he tied it around the box’; nemeghluku kakinnaken allighta ‘use an overcast stitch to sew the sealskin sock’				PE n0m03(-)			nemegh-	nemegh-
nemeghyaq	нымыӷьяқ	ysvs4mz2	kelp type; snake; serpent	kelp type	snake	serpent		exact identification of kelp undetermined; the snake is known through the Bible and from contact with outsiders; Kayagtekumsi penniighestun qungangitnilngughestun amaat lliighlequsi enkaam kelengalusi nemeghyastun, … ‘I am sending you out like sheep into the midst of wolves; so be as wise as serpents ….’ (Matthew 10.16)				< nemeq-?-			nemeghyaq	nemeghyaq
nemeq	нымық	ysvs2	lashing	lashing								PE n0m03(-)			nemeq	nemeq
nemeq	нымық	ysvs2	type of stitch	stitch type				exact identification undetermined					see SLI Cur. Res. Man. 85		nemeq	nemeq
nemetwha-	нымытӱьа-	ysvsn1]f-	to stay home; to stay in one place; to be on one’s own	stay home or in one place	home (stay ~ or in one place)	be on one’s own		… pengegniighutaaten. Masingka nemetwhayaaghtaaten." ‘She said to her younger brother, “… You are no longer someone who one must worry about. You can be on your just fine now.”’ (UNGIPAGH. 162)				from Chukchi n0m0twak ‘live, reside’, probably reinforced by Yupik nae ‘place, home’		14	nemetwha-	nemetwha-
nemghutaq	нымӷутақ	ysv4enf2	rope, cord, thong, etc. used for lashing	rope, cord, thong, etc. used for lashing	lashing rope, cord, thong, etc.							< nemegh-(u)taq			nemghutaq	nemghutaq
neneq	нынық	ysys2	act of eating	eating (act of ~)				used in the ablative-modalis as the indefinite object of the verb taaqe- ‘to finish’: neneghmeng taaqluni ‘after he finished eating’; North Star usiista tagiiquq. Aghnequn neneghmeng taaqegkufsi igaghnaanghitusinguq. ‘The North Star freighter is coming. This afternoon when you’re done eating there will be no more school.’ (SULUWET 3); Neneghmeng taaqsameng, tawatengwaaq tuguluku qayuusiq wine-eghraghameng imalek, …. ‘When they finished eating, He lifted that cup full of wine, ….’ (1 Corinthins 11.25)				< negh<e>-neq1			neneq	neneq
nengaa	ныңā	ys36	daughter's husband (son-in-law); brother-in-law (sister's husband)	son-in-law	brother-in-law (sister’s husband)			nengaaka ‘my male in-law’				PE n0&a(C)u(!)			nenga	nengx
nengagh-	ныңаӷ-	ys3f4-	to go off angrily or sulking; to stalk off	go off angrily or sulking	stalk off			nengaghtuq ‘he stalked off’ /				PE n0&(&)a3-			nengagh-	nengagh-
nengaawaq	ныңāӱақ	ys361f2	a man who is working (according to custom) for the parents of the woman he will marry; son-in-law to be	man who is working (according to custom) for the parents of the woman he will marry	son-in-law to be			w in this word comes from the ancient form *nengauk (as still in Central Alaskan Yup'ik) of the parent word nengaa (which itself, however, shows no trace of  u)				< nengaa-ghaq			nengawaq	nengxwaq
nengaawiqe-	ныңāӱиқы-	ys361b2s-	to work for the parents of the woman one will marry	work for the parents of the woman one will marry								< nengaawaq-liqe-			nengawiqe-	nengxwiqe-
nenge-	ныңы-	ys3s-	to stretch; to tighten	stretch	tighten			nenguq ‘it stretched’ / nengtaa ‘he stretched it, tightened it’; nengestaa ‘he made it stretch’; cf. nengug-				PE n0&0-			nenge-	nenge-
nengekeregiigh-	ныңыкырыгӣӷ-	ys3srshsu74-	to not reach something	not reach something				Chukotkan (R)				< nenge-?-	CK Rub 395		nengekeregigh-	nengekeregxgh-
nengenghigh-	ныңынӷиӷ	ys3sy4b4 	to tire, slow down and lose enthusiasm as from working too hard	tire, slow down and lose enthusiasm as from working too hard				uygulluku qimugsighllagem qenwat qikmii nengenghightut ‘his dogs are getting tired from pulling too much’; qikmima nengenghiitaanga ‘my dogs are getting too slow for me’					CK A & W 61		nengenghigh-	nengenghigh-
nengerqagh-	ныңышқаӷ-	ys3si2f4-	to stretch skin	stretch skin				Chukotkan (V&E)	dsnzubdfnm. hfcnzubdfnm irehe				CK V & E 92		nengerqagh-	nengerqagh-
Nengesighviget	Ныңысиӷвигыт	Ys3scb4dbusn	creek and valley that comes out near Vngyat Pt. (Angyat) on St. Lawrence Is.	Vngyat Pt. (creek and valley that comes out near ~ on St. Lawrence Is.)				see Map 4 in Appendices							Nengesighviget	Nengesighviget
nengigh-	ныңиӷ-	ys3b4-	to receive a share of a catch which has been distributed	receive a share of a catch which has been distributed				nengightuq ‘he received his share’ /				PE n0&i3			nengigh-	nengigh-
Nengiighhaghmii(t)	Ныңӣҳаӷмӣ(т)	Ys375f4v7ønπ	a particular clan	clan (a particular ~)						xxxt		< Nengiighhaq-mii			Nengighhaghmi(t)	Nengxghhaghmx(t)
Nengiighhaq	Ныңӣҳақ	Ys375f2	Ningeehak Beach on St. Lawrence Is.	Ningeehak Beach on St. Lawrence Is.				see Map 4 in Appendices				< nae-ngiighhaq			Nengighhaq	Nengxghhaq
nengiighhaq*	ныңӣҳақ	ys375f2	little place; little thing; little old couple (when used in dual)	little place or thing	couple (little old ~ (when used in dual))			nengiighhaak ‘little old couple’				< nae-iighhaq			nengighhaq*	nengxghhaq*
nengighqe-	ныңиҳқы-	ys3b52s-	to divide and distribute one's catch	divide and distribute one's catch				nengighqaa ‘he divided it’ /				< nengigh-ghqe1-			nengighqe-	nengighqe-
nengighqelleq	ныңиҳқыльық	ys3b52sk]s2	division (the process of ~)	division (the process of ~)				Nengighqelleghmeng liitunga igaghvigmi. ‘I learned to do division in school.’ (SLI JR. DICT. 85)				< nengighghqe-lleq			nengighqelleq	nengighqelleq
nenginaaqu-	ныңинāқу-	ys3by62e-	to be unable to proceed while traveling; be stuck in place	unable to proceed while traveling (be ~)	stuck in place (be ~)			akmagluni uusneghwaaghmi quulmun nenginaaqulghii kayusiitaa quulmun ‘he was trying to climb up a bank (hill) with a large pack but he wasn’t moving, so he helped him out’; ullghitagnekun aghqumlami nenginaaquluni pegnem alpagtuq ‘he couldn’t move with his wheeled/tracked vehicle in the marsh,  but then finally he did manage to get out’				< nae-(ng)inaq-(ng)u-qu-	CK A & W 62		nenginaqu-	nenginxqu-
nengiq	ныңиқ	ys3b2	share of a catch	share of a catch								PE n0&i3			nengiq	nengiq
nengitugh-	ныңитуӷ-	ys3bne4-	to have a hard time getting to the desired place or into the desired position or situation; to feel uncomfortable where or how one is	have a hard time getting to the desired place or into the desired position or situation (have a ~)	uncomfortable where or how one is (feel ~)			qikmiq wiin ungleghpenani nengitughtuq ‘the dog shuffled around some before it lay down where it wanted to’; aqupileghraam nengitughtuq ‘he was being bothered by  the situation so he felt uncomfortable’				< nae-(ng)ite-ugh-	CK A & W 62		nengitugh-	nengitugh-
nengki	ныңки	ys3rb	prop; support; blind with gun props for hunting	prop	support	blind with gun props for hunting		= nenki				PY 0&ki-			nengki	nengki
nengki-	ныңки-	ys3rb-	to prop up	prop up				nengkii ‘he propped it up’ / = nenki-				PY 0&ki-			nengki-	nengki-
nenglagh-	ныңляӷ-	ys3kz4-	to laugh	laugh				nenglaghtuq ‘he laughed’ / nenglaatkaa ‘he laughed about it or him’; nenglaghtaa ‘he made her laugh’; nenglaghqaghtuq ‘he roared with laughter’				PE 0&la30			nenglagh-	nenglagh-
nenglaghnagh-	ныңляӷнаӷ-	ys3kz4yf4-	to be funny	funny (be ~)				nenglaghnaghtuq ‘it is funny’ /				< nenglagh-nagh-			nenglaghnagh-	nenglaghnagh-
nenglaghnaq	ныңляӷнақ	ys3kz4yf2	funny thing	funny thing								< nenglagh-naq			nenglaghnaq	nenglaghnaq
nenglaghyugsagh-	ныңляӷюхсяӷ-	ys3kz4/[cz4-	to make fun of someone	make fun of someone				nenglaghyugsaghtuq ‘he made fun of someone’ / nenglaghyugsaatkaa ‘he made fun of her’				< nenglagh-yug-sagh-			nenglaghyugsagh-	nenglaghyugsagh-
nenglasiigh-	ныңлясӣӷ-	ys3kzc74-	to chuckle	chuckle				nenglasiightuq ‘he chuckled’ / 				< nenglagh-?-			nenglasigh-	nenglasxgh-
nenglek	ныңлык	ys3ksr	coldness	coldness				cf. nangllagh-				PE n0&0(t)- and n0&@i-			nenglek	nenglek
nenglekegte-	ныңлыкыхты-	ys3ksrs[ns-	to be icy cold (of liquid or solid, not person or weather)	icy cold (be ~, of liquid or solid, not person or weather)	cold (be ~ cold, of liquid or solid, not person or weather)							< nenglek-kegte-			nenglekegte-	nenglekegte-
nenglengestagh-	ныңлыңыстаӷ-	ys3ks3scnf4-	to giggle	giggle				nenglengestaghtuq ‘he giggled’ /				< nenglagh-ngestaq			nenglengestagh-	nenglengestagh-
nengli-	ныңли-	ys3kb-	to cool off	cool off				nengliiq ‘it/he cooled off’ / nengliiq puqleghalleghmineng ‘he cooled off from his high fever’				PE n0&0(t)- and n0&@i-; < nenglek-li-			nengli-	nengli-
nenglisigh-	ныңлисиӷ-	ys3kbcb4-	to cool off food	cool off food				nenglisighaa ‘he cooled it off ‘/				< nengli-sigh-			nenglisigh-	nenglisigh-
nengllitaq	ныңльитақ	ys3k]bnf2	tooth that is abnormally sensitive to the cold	tooth that is abnormally sensitive to the cold									CK A & W 62		nengllitaq	nengllitaq
nenglliyug-	ныңльиюг-	ys3k]b/u-	to be abnormally sensitive to the cold	sensitive to cold (be abnormally ~)				gguutka nenglliyugllak gguutniightemun kelgulluku ilaaghaa ‘my tooth was really sensitive to the cold, so I had the dentist check it and he put a filling on it’					CK A & W 62		nenglliyug-	nenglliyug-
nenglliyug-	ныңльиюг-	ys3k]b/u-	to be sensitive to cold (especially of teeth)	sensitive to cold (be ~ (especially of teeth))				gguutka nenglliyugtuq ‘my tooth feels sensitive to the cold’				< nenglek-?-			nenglliyug-	nenglliyug-
nengllugun	ныңгльюгун	ys3uk]/uey	housemate; fellow family member	housemate	family (fellow ~ member)			also nengllugta; nengllugutet ‘a family’; Paapgaq iteghluni qukiitgun nengllugutmi aghuliighumalghii. ‘After coming in Paapgaq stopped in the midst of his family members.’ (IGHSANI. AFSENG.16)				< nae-?-(u)n			nengllugun	nengllugun
nenglu	ныңлю	ys3k/	semi-subterrranean house	semi-subterrranean house	house, semi-subterrranean 			this is the Yupik form of the Eskimo word which has entered English as "igloo"; the semi-subterranean house was used by Yupik people on St. Lawrence Is. until replaced by the dome-shaped walrus-hide covered Chukchi-style house, mangteghaq or mengteghaq, (now referred to as mangteghapik or mengteghapik), in the late 1800’s or early 1900’s; Nenglu qafsin'guyaghta uglaghraak qaya paamna nenglulighvigilnguq tangeghtughllak. ‘One can’t say how many semi-subterranean houses there were but it was quite a few, but up there the ground was too hard and there were no semi-subterranean houses.’ (SIVUQ. NANGAGH. 3:18)				PE 0&lu			nenglu	nenglu
Nengluvek	Ныңлювык	Ys3k/dsr	site on north shore of Koozata Lagoon	Koozata Lagoon (site on north shore of ~)				see Map 5 in Appendices							Nengluvek	Nengluvek
nengpagte-	ныңпахты-	ys3gf[ns-	to yank on a rope; to suddenly become angry and stay angry	yank on a rope	angry (suddenly become ~ and stay that way)							< nenge-pagte-			nengpagte-	nengpagte-
nengqe-	ныңқы-	ys32s-	to be tense; to have a cramp; to have sore muscles	tense (be ~)	cramp (have a ~)	sore muscles (have ~)		nengquq ‘it is tense; he has sore muscles’ /				< nenge-?-			nengqe-	nengqe-
nengrak	ныңрак	ys3hfr	skin ailment characterized by itching and redness; dermatitis	skin ailment characterized by itching and redness	dermatitis			cf. neguya							nengrak	nengrak
nengrugh-	ныңруӷ-	ys3he4-	to have rheumatism	rheumatism (have ~)				cf. nengqugh-							nengrugh-	nengrugh-
nengruuqi-	ныңруқи-	ys3he2b-	to be reluctant to go out or go on a trip because the cold	reluctant to go out or go on a trip because the cold (be ~)				uksumi nengruuqinalghii sapeghhnami ‘one can be reluctant to go out in the extreme cold in the winter’; sapeghhnaghllak nengruuqingigatutmineng ullghitagni igleghtestaak ‘in as much as he is not being bothered by extreme cold, he started up his snowmachine (in order to ride it)’; nengruuqifqaavek aani ‘don’t be hesitant due to the cold, go out’; cf. nenglek					CK A & W 62; VK		nengruqi-	nengrxqi-
nengsugpagtagh-	ныңсюхпахтаӷ-	ys3c/[gf[nf4-	to jerk uncontrollably	jerk uncontrollably								< nenge-?-	VK		nengsugpagtagh-	nengsugpagtagh-
nengsugpagte-	ныңсюхпахты-	ys3c/[gf[ns-	to strain a muscle; to make an injury worse	strain a muscle	make an injury worse							< nenge-?-			nengsugpagte-	nengsugpagte-
nengtaatagaq	ныңтāтагақ	ys3n6nfuf2	rubber	rubber				Chukotkan (V&E)	htpbyf				CK V & E 84; Rub 435		nengtatagaq	nengtxtagaq
nengtaataq	ныңтāтақ	ys3n6nf2	accordion	accordian				used in the dual, nengtaatak, for one accordian				< nengte-?-(u)n			nengtataq	nengtxtaq
nengte-	ныңты-	ys3ns-	to stretch (it)	stretch (it)				nengtaa ‘he stretched it’ /				PE n0&0t- (under PE n0&0-); < nenge-te1-			nengte-	nengte-
nengug-	ныңуг-	ys3eu-	to reach across; to tug	reach across	tug			nengugtuq ‘he reached across’; nengugaa ‘he reached across for it’ / nengugutaa ‘he waved it in the air’; cf. nenge-				PY-S n0&u!- (under PE n0&0-)	CK V & E 187 CK on 2nd gloss		nengug-	nengug-
nengughte-	ныңуҳты-	ys3e5ns-	to get married; to become populated	married (get ~)	populated (become ~)			nengughtuq or nengughtut ‘it became populated’; nengughtuk ‘they2 got married, established a home’; nengughtelqa ‘my anniversary’				< nae-(ng)ughte-			nengughte-	nengughte-
nenguugte-	ныңӯхты-	ys38[ns-	for wind to get stronger	wind gets stronger				nenguugtuq or nenguugtaa ‘the wind is picking up’ / cf. nengulgha-							nengugte-	nengxgte-
nengugutiiraagh-	ныңугутӣрāӷ-	ys3euen7h64-	to vote	vote				Chukotkan (R)					CK Rub 394		nengugutiragh-	nengugutxrxgh-
nengukagh-	ныңукаӷ-	ys3erf4-	to snatch; to strike with hand or fist	snatch	strike with hand or fish			nengukaghaa ‘he snatched it, struck him’ /				< nengug-?-			nengukagh-	nengukagh-
nengulgha-	ныңулӷа-	ys3ek4f-	for waves to break on the beach; for surf to come up and sweep across beach after waves break	waves break on the beach	surf comes up and sweep across beach after waves break			nengulghallghet ‘the place where the waves break or broke’; nengulghavikaa ‘the waves reached it’; cf. nenguugte-							nengulgha-	nengulgha-
nengumaste-	ныңумасты-	ys3evfcns-	to be the head of a household; to lead the household	household (be the head of ~)	lead the household			Chukotkan (R)				< nae-(ng)u-(i/u)ma-(te)ste-	CK Rub 394		nengumaste-	nengumaste-
nenguwaagh-	ныңуӱāӷ-	ys3e164-	to grope sexually	grope sexually								< nengug-(ghw/ngw/w)aaq			nenguwagh-	nenguwxgh-
nenguyugte-	ныңуюхты-	ys3e/[ns-	to live somewhere as if in one’s own home	live somewhere as if in one’s own home				Chukotkan (R,V&E)	;bdtn cdjbv [jpzqcndjv\ xedcndetn ct,z rfr ljvf. [jpzqybxftn d ljvt			< nae-?-	CK V & E 75 Rub 395		nenguyugte-	nenguyugte-
nengwaaqe-	ныңӱāқы-	ys3162s-	to live somewhere as if in one’s own home	live somewhere as if in one’s own home				Chukotkan (R,V&E)	;bdtn cdjbv [jpzqcndjv\ xedcndetn ct,z rfr ljvf. [jpzqybxftn d ljvt			< nae-?	CK V & E 75 Rub 395		nengwaqe-	nengwxqe-
nengyaapellegaq	ныңья̄пыльыгақ	ys3m9gsk]suf2	“ringtail snail” fish	“ringtail snail” fish				exact identification undetermined					SLI Cur. Man. 53		nengyapellegaq	nengyxpellegaq
nengyughllak	ныңьюҳльяк	ys3m/5k]zr	great-grandmother	great-grandmother								< nengyuq-ghllak			nengyughllak	nengyughllak
nengyuq	ныңьюқ	ys3m/2	grandmother	grandmother				“Nengyuuy,” piiq afsengaghhaq, “whanga iknaqellghuftunga pinighqaallghuftunga, …” ‘“Grandma,” said the little mouse, “I’m the strongest and the best, …”’ (AANGHHAQ 38)				PE n0&yu3			nengyuq	nengyuq
nengzighhe-	ныңзиҳы-	ys3pb5s-	to stretch one's body as upon waking	stretch one's body as upon waking				nengzighhuq ‘he stretched’ /				< nenge-?-			nengzighhe-	nengzighhe-
nengziik	ныңзӣк	ys3p7r	grasshopper or grasshopper-like insect	grasshopper or grasshopper-like insect				Chukotkan; exact identification undetermined			used also on SLI?				nengzik	nengzxk
nenki	нынки	ysyrb	prop; support; blind with gun props for hunting	prop	support	blind with gun props for hunting		= nengki				PY 0&ki-			nenki	nenki
nenki-	нынки-	ysyrb-	to prop up	prop up				nenkii ‘he propped it up’ / = nengki-				PY 0&ki-			nenki-	nenki-
nepasanagh-	ныпасянаӷ-	ysgfczyf4-	to be misty or drizzly	misty (be ~)	drizzly (be ~)			cf. nepsuk							nepasanagh-	nepasanagh-
nepasanaq	ныпасянақ	ysgfczyf2	mist; drizzle	mist	drizzle										nepasanaq	nepasanaq
nepiigh-	ныпӣӷ-	ysg74-	to become silent	silent (become ~)				nepiightuq ‘he became silent’ / nepiighutaa ‘he became silent about it’; Nepiinghata aqumneghmini paaghqiiluni. ‘When the voices stopped, she sat up and there was no one to be seen.’ (SIVUQ. NANGAGH. 3:198); cf. nepuk, mae							nepigh-	nepxgh-
nepiiq	ныпӣқ	ysg72	silence	silence											nepiq	nepxq
nepite-	ныпиты-	ysgbns-	to be unintelligible; to speak with an impairment	unintelligible (be ~)	impairment (speak with an ~)			akuzillgha nepiteghllak enkaam tusaqepanghitaqa ‘his way of talking was unintelligible, so I didn’t understand him much’					CK A & W 62		nepite-	nepite-
nepititaghte-	ныпититҳты-	ysgbnbn5ns-	to bring a boat (or the like) from the breakers and to secure it	bring a boat (or the like) from the breakers and to secure it				angyaghsi nepititaghlluku ayviitek ‘get your boat away from the waves and secure it first, and then butcher the walrus’					CK A & W 63		nepititaghte-	nepititaghte-
nepneqagh-	ныпньықаӷ-	ysgy]s2f4-	to stick (it -- knife, axe, etc.) into or onto something when not in use	stick (it -- knife, axe, etc.) into or onto something when not in use				nepneqaghaa ‘he stuck it into something’ / cf. neve-					VK		nepneqagh-	nepneqagh-
